Month,Sales of shampoo over a three year period
1/1/10,266
2/1/10,145.9
3/1/10,183.1
4/1/10,119.3
5/1/10,180.3
6/1/10,168.5
7/1/10,231.8
8/1/10,224.5
9/1/10,192.8
10/1/10,122.9
11/1/10,336.5
12/1/10,185.9
1/1/11,194.3
2/1/11,149.5
3/1/11,210.1
4/1/11,273.3
5/1/11,191.4
6/1/11,287
7/1/11,600
8/1/11,700
9/1/11,289.9
10/1/11,421.6
11/1/11,264.5
12/1/11,342.3
1/1/12,339.7
2/1/12,440.4
3/1/12,315.9
4/1/12,439.3
5/1/12,100
6/1/12,437.4
7/1/12,575.5
8/1/12,407.6
9/1/12,682
10/1/12,475.3
11/1/12,581.3
12/1/12,646.9